Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
223.9110252296262	223.98054250210427	1.4287415571265077e-69	26.5103628047203	1471.27588776	46118.01121704	A	X	e	0	42	42	Pi	f	6	42	42	Q(42)
223.9176651096906	223.9871838002543	2.0022362274513033e-60	13.0619153841163	1027.393416	45672.804954	A	X	e	0	35	35	Pi	e	6	34	34	P(35)
223.9501521564538	224.01967778595665	1.1186181900565919e-70	26.4964714892473	1541.11861024	46180.05434496	A	X	e	0	43	43	Pi	f	6	43	43	Q(43)
223.95738333324508	224.02691050740833	1.021838548940152e-61	13.0603758283851	1085.97309984	45723.467664	A	X	e	0	36	36	Pi	e	6	35	35	P(36)
223.99024313050836	224.05977732456438	4.89185916208409e-72	26.482247970605	1612.565064	46243.511856	A	X	e	0	44	44	Pi	f	6	44	44	Q(44)
223.99804047946213	224.06757633944025	6.828664727587975e-63	13.0583750801214	1146.16551976	45775.55886336	A	X	e	0	37	37	Pi	e	6	36	36	P(37)
224.03130193697456	224.10084490403736	2.9215967934240947e-73	26.4676916327908	1685.613834	46308.381786	A	X	e	0	45	45	Pi	f	6	45	45	Q(45)
224.0396396577998	224.1091844065873	4.9036017323632866e-64	13.0559369262518	1207.96948584	45829.07694504	A	X	e	0	38	38	Pi	e	6	37	37	P(38)
224.07333245317858	224.14288440264954	2.305494477622064e-74	26.4528018475161	1760.26347304	46374.66212616	A	X	e	0	46	46	Pi	f	6	46	46	Q(46)
224.08218406762325	224.1517379090157	3.0854880270544197e-65	13.0530826558319	1271.383776	45884.02025736	A	X	e	0	39	39	Pi	e	6	38	38	P(39)
224.11633864901705	224.18589979126847	1.2665836044015348e-75	26.4375779743235	1836.51250176	46442.35082304	A	X	e	0	47	47	Pi	f	6	47	47	Q(47)
224.12567699856965	224.19524013718615	2.4090365762917725e-66	13.0498313754517	1336.407136	45940.387104	A	X	e	0	40	40	Pi	e	6	39	39	P(40)
224.1603245873977	224.22989513379588	5.568390412466278e-77	26.422019360707	1914.35940864	46511.44577856	A	X	e	0	48	48	Pi	f	6	48	48	Q(48)
224.17012183092373	224.23969447222927	1.739753401478115e-67	13.0462002779234	1403.03827944	45998.175744	A	X	e	0	41	41	Pi	e	6	40	40	P(41)
224.20529442469206	224.27487458762073	3.5487048490571615e-78	26.4061253422349	1993.80265	46581.94485	A	X	e	0	49	49	Pi	f	6	49	49	Q(49)
224.21552203600487	224.28510438633276	1.1336999865002783e-68	13.0422048721317	1471.27588776	46057.38439176	A	X	e	0	42	42	Pi	e	6	41	41	P(42)
224.25125241119957	224.32084240408307	2.3004937488929008e-79	26.3898952426755	2074.84065	46653.84585	A	X	e	0	50	50	Pi	f	6	50	50	Q(50)
224.26188117656434	224.3314734431387	7.015592822604266e-70	13.037859180442	1541.11861024	46118.01121704	A	X	e	0	43	43	Pi	e	6	42	42	P(43)
224.30920290719328	224.378805298152	5.4934911337101834e-71	13.0331759088893	1612.565064	46180.05434496	A	X	e	0	44	44	Pi	e	6	43	43	P(44)
224.3574909747428	224.42710369916026	2.402652684268542e-72	13.0281665944286	1685.613834	46243.511856	A	X	e	0	45	45	Pi	e	6	44	44	P(45)
224.40674921875421	224.4763724866643	1.435102212341368e-73	13.0228417327761	1760.26347304	46308.381786	A	X	e	0	46	46	Pi	e	6	45	45	P(46)
224.45698157190162	224.52661559432076	1.1325763137448923e-74	13.0172108897636	1836.51250176	46374.66212616	A	X	e	0	47	47	Pi	e	6	46	46	P(47)
224.50819206044488	224.57783704939538	6.222626181582086e-76	13.0112827986354	1914.35940864	46442.35082304	A	X	e	0	48	48	Pi	e	6	47	47	P(48)
224.5603848046951	224.63004097322855	2.7359105247691375e-77	13.0050654453174	1993.80265	46511.44577856	A	X	e	0	49	49	Pi	e	6	48	48	P(49)
224.61356401949166	224.68323158171228	1.7436953476667174e-78	12.998566143359	2074.84065	46581.94485	A	X	e	0	50	50	Pi	e	6	49	49	P(50)
224.88896172788344	224.95868833937874	1.6724194397876258e-39	27.8769555505026	1379.20977184	45831.81604288	A	X	e	1	11	11	Pi	f	7	11	11	Q(11)
224.89840419771545	224.96813283514962	2.83400949956852e-50	14.2332483830379	1682.26387176	46133.00395648	A	X	e	1	22	22	Pi	e	7	23	23	R(22)
224.90024496362034	224.96997399601221	3.452687341822815e-40	27.8727604044497	1398.66834976	45849.04464832	A	X	e	1	12	12	Pi	f	7	12	12	Q(12)
224.91247329903163	224.98220495524018	6.252984654676735e-41	27.8682148174352	1419.74673384	45867.70652688	A	X	e	1	13	13	Pi	f	7	13	13	Q(13)
224.91292171925724	224.98265347168555	2.905305409925799e-51	14.2183919116748	1719.51201664	46167.3832	A	X	e	1	23	23	Pi	e	7	24	24	R(23)
224.92564789491462	224.9953823781433	1.037717525252541e-41	27.8633185870204	1442.444506	45887.801092	A	X	e	1	14	14	Pi	f	7	14	14	Q(14)
224.9284036845557	224.99813875914663	2.831292288875984e-52	14.2043070333754	1758.3736	46203.1857	A	X	e	1	24	24	Pi	e	7	25	25	R(24)
224.93977000197145	225.00950751572904	1.6198133573389935e-42	27.8580714953755	1466.761216	45909.327712	A	X	e	1	15	15	Pi	f	7	15	15	Q(15)
224.94485229439192	225.01459089883065	2.6493496449108486e-53	14.19088592571	1798.84785	46240.41032848	A	X	e	1	25	25	Pi	e	7	26	26	R(25)
