obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"256.1424"	""	"3.7e+05"	D	"1332.164"	"40361.249"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3P).4s.4p.(3P*)"	"5P*"	"3"		"T3861"	""	
""	"263.5240"	""	"9.4e+00"	E	"13521.347"	"51457.250"	"3d8.(1D).4s2"	"1D"	"2"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"0"	E2	"T848n"	""	
"269.649"	"269.6488"	"45"	"1.4e+06"	D	"3409.937"	"40484.212"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"5P*"	"2"		"T3861"	"L3475"	
""	"274.6742"	""	"1.7e+06"	C	"204.787"	"36600.791"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T3861,T4812"	""	
""	"278.8780"	""	"2.9e+00"	E	"15609.844"	"51457.250"	"3d8.(3P).4s2"	"3P"	"2"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"0"	E2	"T848n"	""	
""	"279.8473"	""	"5.3e+00"	D	"15734.001"	"51457.250"	"3d8.(3P).4s2"	"3P"	"1"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"0"	M1	"T848n"	""	
"279.865"	"279.8651"	"150"	"5.8e+06"	C	"879.816"	"36600.791"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T3861,T4812"	"L3475"	
""	"280.5079"	""	"8.8e+05"	C	"0.000"	"35639.122"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"		"T4812"	""	
"282.129"	"282.1291"	"250"	"4.9e+06"	C	"204.787"	"35639.122"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"		"T3861,T4812"	"L3475"	
""	"283.4547"	""	"6.6e+05"	D+	"1332.164"	"36600.791"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T4812"	""	
"286.550"	"286.5498"	"50"	"1.8e+06"	C	"1713.087"	"36600.791"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T4812"	"L3475"	
"290.746"	"290.7457"	"60"	"2.0e+06"	D+	"2216.550"	"36600.791"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T4812"	"L3475"	
"291.401"	"291.4007"	"25"	"5.8e+05"	C	"1332.164"	"35639.122"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"		"T4812"	"L3475"	
"294.391"	"294.3912"	"500"	"1.1e+07"	C	"204.787"	"34163.264"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"		"T3861"	"L3475"	
"298.165"	"298.1646"	"570"	"2.8e+07"	C	"879.816"	"34408.555"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"1"		"T4812"	"L3475"	
"298.413"	"298.4131"	"250"	"6.6e+06"	C+	"0.000"	"33500.822"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"		"T4812"	"L3475"	
""	"299.1118"	""	"1.2e+05"	D+	"2216.550"	"35639.122"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"		"T4812"	""	
"299.260"	"299.2592"	"500"	"5.4e+06"	C+	"204.787"	"33610.890"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"		"T4812"	"L3475"	
"299.446"	"299.4453"	"1000"	"8.7e+06"	C+	"204.787"	"33590.130"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"1G*"	"4"		"T4812"	"L3475"	
"300.249"	"300.2485"	"4000"	"8.0e+07"	C+	"204.787"	"33500.822"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"		"T4812"	"L3475"	
"300.363"	"300.3621"	"2200"	"6.9e+07"	D	"879.816"	"34163.264"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"		"T3861"	"L3475"	
"301.200"	"301.2001"	"3700"	"1.3e+08"	C	"3409.937"	"36600.791"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T3861,T4812"	"L3475"	
"301.914"	"301.9143"	"350"	"6.4e+06"	C+	"0.000"	"33112.334"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"3"		"T4812"	"L3475"	
"303.187"	"303.1867"	"120"	"1.7e+06"	C+	"0.000"	"32973.376"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"4"		"T4812"	"L3475"	
"303.794"	"303.7933"	"1700"	"2.8e+07"	C+	"204.787"	"33112.334"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"3"		"T4812"	"L3475"	
"304.501"	"304.5007"	"150"	"2.8e+06"	C	"1332.164"	"34163.264"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"		"T4812"	"L3475"	
"305.082"	"305.0816"	"3500"	"6.0e+07"	C+	"204.787"	"32973.376"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"4"		"T4812"	"L3475"	
"305.432"	"305.4313"	"1500"	"4.0e+07"	C+	"879.816"	"33610.890"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"		"T4812"	"L3475"	
"305.764"	"305.7639"	"1900"	"1.0e+08"	D	"1713.087"	"34408.555"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"1"		"T3861"	"L3475"	
"306.462"	"306.4619"	"500"	"1.1e+07"	C+	"879.816"	"33500.822"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"		"T4812"	"L3475"	
"308.076"	"308.0752"	"420"	"8.7e+06"	C	"1713.087"	"34163.264"	"3d9.(2D).4s"	"3D"	"1"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"		"T3861,T4812"	"L3475"	
"309.712"	"309.7117"	"260"	"3.3e+06"	C+	"1332.164"	"33610.890"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"		"T4812"	"L3475"	
"309.912"	"309.9110"	"210"	"2.1e+06"	C+	"1332.164"	"33590.130"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(3P*)"	"1G*"	"4"		"T4812"	"L3475"	
"310.155"	"310.1557"	"2600"	"6.3e+07"	C+	"879.816"	"33112.334"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"3"		"T4812"	"L3475"	
"310.188"	"310.1878"	"1300"	"4.9e+07"	C	"3409.937"	"35639.122"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"		"T3861"	"L3475"	
