State	Vibr.	J	Energy	Index
Pi	6	7	44849.52952704	751
Pi	6	8	44861.17867776	752
Pi	6	9	44874.282834	753
Pi	6	10	44888.841594	754
Pi	5	37	44893.68627012	755
Pi	6	11	44904.85451136	756
Pi	6	12	44922.32109504	757
Pi	6	13	44941.24080936	758
Pi	5	38	44949.29508708	759
Pi	6	14	44961.613074	760
Pi	6	15	44983.437264	761
Pi	5	39	45006.345312	762
Pi	6	16	45006.71270976	763
Pi	6	17	45031.43869704	764
Pi	6	18	45057.61446696	765
Pi	5	40	45064.835232	766
Pi	6	19	45085.239216	767
Pi	6	20	45114.312096	768
Pi	5	41	45124.76309028	769
Pi	6	21	45144.83221416	770
Pi	6	22	45176.79863304	771
Pi	5	42	45186.12708612	772
Pi	6	23	45210.21037056	773
Pi	6	24	45245.0664	774
Pi	5	43	45248.92537488	775
Pi	6	25	45281.36565	776
Pi	5	44	45313.156068	777
Pi	6	26	45319.10700456	778
Pi	6	27	45358.28930304	779
Pi	5	45	45378.817233	780
Pi	6	28	45398.91134016	781
Pi	6	29	45440.971866	782
Pi	5	46	45445.90689348	783
Pi	6	30	45484.469586	784
Pi	5	47	45514.42302912	785
Pi	6	31	45529.40316096	786
Pi	6	32	45575.77120704	787
Pi	5	48	45584.36357568	788
Pi	6	33	45623.57229576	789
Pi	5	49	45655.726425	790
Pi	6	34	45672.804954	791
Pi	6	35	45723.467664	792
Pi	5	50	45728.509425	793
Pi	7	1	45738.45679248	794
Pi	7	2	45741.33033232	795
Pi	7	3	45745.64052928	796
Pi	7	4	45751.387248	797
Pi	7	5	45758.570308	798
Pi	7	6	45767.18948368	799
Pi	6	36	45775.55886336	800
Pi	7	7	45777.24450432	801
Pi	7	8	45788.73505408	802
Pi	7	9	45801.660772	803
Pi	7	10	45816.021252	804
Pi	6	37	45829.07694504	805
Pi	7	11	45831.81604288	806
Pi	7	12	45849.04464832	807
Pi	7	13	45867.70652688	808
Pi	6	38	45884.02025736	809
Pi	7	14	45887.801092	810
Pi	7	15	45909.327712	811
Pi	7	16	45932.28571008	812
Pi	6	39	45940.387104	813
Pi	7	17	45956.67436432	814
Pi	7	18	45982.49290768	815
Pi	6	40	45998.175744	816
Pi	7	19	46009.740528	817
Pi	7	20	46038.416368	818
Pi	6	41	46057.38439176	819
Pi	7	21	46068.51952528	820
Pi	7	22	46100.04905232	821
Pi	6	42	46118.01121704	822
Pi	7	23	46133.00395648	823
Pi	7	24	46167.3832	824
Pi	6	43	46180.05434496	825
Pi	7	25	46203.1857	826
Pi	7	26	46240.41032848	827
Pi	6	44	46243.511856	828
Pi	7	27	46279.05591232	829
Pi	6	45	46308.381786	830
Pi	7	28	46319.12123328	831
Pi	7	29	46360.605028	832
Pi	6	46	46374.66212616	833
Pi	7	30	46403.505988	834
Pi	6	47	46442.35082304	835
Pi	7	31	46447.82275968	836
Pi	7	32	46493.55394432	837
Pi	6	48	46511.44577856	838
Pi	7	33	46540.69809808	839
Pi	6	49	46581.94485	840
Pi	7	34	46589.253732	841
Pi	7	35	46639.219312	842
Pi	8	1	46646.48747236	843
Pi	8	2	46649.32237124	844
Pi	8	3	46653.57460496	845
Pi	6	50	46653.84585	846
