State	Vibr.	J	Energy	Index
Pi	0	8.5	20469.8362489946	315
Pi	0	0.5	20470.306176053	316
Pi	0	0.5	20470.319529547	317
Pi	0	1.5	20475.0980549616	318
Pi	0	1.5	20475.1247139623	319
Pi	0	2.5	20483.0885982617	320
Pi	0	2.5	20483.1284671455	321
Pi	0	3.5	20494.2772240372	322
Pi	0	3.5	20494.330160238	323
Pi	0	9.5	20499.4503333248	324
Pi	0	9.5	20499.4577351881	325
Pi	0	4.5	20508.6631104839	326
Pi	0	4.5	20508.7289255159	327
Pi	0	5.5	20526.2451984586	328
Pi	0	5.5	20526.3236592464	329
Pi	0	10.5	20532.1847342244	330
Pi	0	10.5	20532.1945302451	331
Pi	0	6.5	20547.0221947117	332
Pi	0	6.5	20547.113025201	333
Pi	0	11.5	20568.0331028738	334
Pi	0	11.5	20568.0457357266	335
Pi	0	7.5	20570.9925757321	336
Pi	0	7.5	20571.0954587488	337
Pi	0	8.5	20598.154592126	338
Pi	0	8.5	20598.2691714484	339
Pi	0	12.5	20606.9943984659	340
Pi	0	12.5	20607.0103387031	341
Pi	0	9.5	20628.5062734402	342
Pi	0	9.5	20628.6321560469	343
Pi	0	13.5	20649.0674625677	344
Pi	0	13.5	20649.0872060562	345
Pi	0	10.5	20662.0454333386	346
Pi	0	10.5	20662.1821917919	347
Pi	0	14.5	20694.251013454	348
Pi	0	14.5	20694.2750788233	349
Pi	0	11.5	20698.7696750362	350
Pi	0	11.5	20698.9168499634	351
Pi	0	12.5	20738.6763968991	352
Pi	0	12.5	20738.8334995319	353
Pi	0	15.5	20742.5436405251	354
Pi	0	15.5	20742.5725666561	355
Pi	0	13.5	20781.7627981193	356
Pi	0	13.5	20781.9293128568	357
Pi	0	16.5	20793.9437988772	358
Pi	0	16.5	20793.9781424578	359
Pi	0	14.5	20828.025884381	360
Pi	0	14.5	20828.2012713417	361
Pi	0	17.5	20848.449804083	362
Pi	0	17.5	20848.4901372531	363
Pi	0	15.5	20877.4624734429	364
Pi	0	15.5	20877.6461709759	365
Pi	0	18.5	20906.0598272295	366
Pi	0	18.5	20906.1067353344	367
Pi	0	16.5	20930.0692005678	368
Pi	0	16.5	20930.2606276972	369
Pi	0	19.5	20966.7718902526	370
Pi	0	19.5	20966.825969718	371
Pi	0	17.5	20985.842523742	372
Pi	0	17.5	20986.0410825219	373
Pi	0	20.5	21030.5838615953	374
Pi	0	20.5	21030.645717936	375
Pi	0	18.5	21044.7787286375	376
Pi	0	18.5	21044.9838063986	377
Pi	0	19.5	21106.8739332774	380
Pi	0	19.5	21107.084904752	381
Pi	1	1.5	21884.7939049663	418
Pi	1	1.5	21884.793950595	419
Pi	1	2.5	21892.49664446	420
Pi	1	2.5	21892.4968266451	421
Pi	1	3.5	21903.2801645483	424
Pi	1	3.5	21903.2806188639	425
Pi	1	4.5	21917.1441655338	426
Pi	1	4.5	21917.1450712384	427
Pi	1	5.5	21934.0882645662	428
Pi	1	5.5	21934.0898433503	429
Pi	1	6.5	21954.1119926118	432
Pi	1	6.5	21954.1145070817	433
Pi	1	7.5	21977.2147908467	434
Pi	1	7.5	21977.218542771	435
Pi	1	8.5	22003.3960065438	438
Pi	1	8.5	22003.4013348979	439
Pi	1	0.5	22005.26627612	440
Pi	1	0.5	22005.27882212	441
Pi	1	1.5	22009.9988666337	442
Pi	1	1.5	22010.023913005	443
Pi	1	2.5	22017.89033034	444
Pi	1	2.5	22017.9277861549	445
Pi	1	3.5	22028.9400917717	446
Pi	1	3.5	22028.9898214561	447
Pi	1	9.5	22032.6548885387	448
Pi	1	9.5	22032.662167381	449
Pi	1	4.5	22043.1473384662	452
Pi	1	4.5	22043.2091627617	453
Pi	1	5.5	22060.5110233538	454
Pi	1	5.5	22060.5847205697	455
Pi	1	10.5	22064.9905823563	456
Pi	1	10.5	22065.0002185725	457
Pi	1	6.5	22081.0298677881	458
Pi	1	6.5	22081.1151753183	459
Pi	1	11.5	22100.4021250881	462
Pi	1	11.5	22100.4145560402	463
Pi	1	7.5	22104.7023651533	464
Pi	1	7.5	22104.798981229	465
Pi	1	8.5	22131.5267849762	466
Pi	1	8.5	22131.6343706221	467
Pi	1	12.5	22138.8884401048	468
Pi	1	12.5	22138.9041312205	469
Pi	1	9.5	22161.5011774613	472
Pi	1	9.5	22161.619358619	473
Pi	1	13.5	22180.4483316894	474
Pi	1	13.5	22180.4677740248	475
Pi	1	10.5	22194.6233783637	476
Pi	1	10.5	22194.7517481475	477
Pi	1	14.5	22225.0804796675	480
Pi	1	14.5	22225.1041874758	481
Pi	1	11.5	22230.8910141119	482
Pi	1	11.5	22231.0291351598	483
Pi	1	12.5	22270.3015070952	486
Pi	1	12.5	22270.4489139795	487
Pi	1	15.5	22272.7834341075	488
Pi	1	15.5	22272.8119424414	489
Pi	1	13.5	22312.8520810306	492
Pi	1	13.5	22313.0082826952	493
Pi	1	16.5	22323.5556101544	494
Pi	1	16.5	22323.5894725271	495
Pi	1	14.5	22358.5397663325	498
Pi	1	14.5	22358.7042485242	499
Pi	1	17.5	22377.3952830516	500
Pi	1	17.5	22377.4350691782	501
Pi	1	15.5	22407.3614054125	502
Pi	1	15.5	22407.5336330786	503
Pi	1	18.5	22434.3005833974	506
Pi	1	18.5	22434.3468770345	507
Pi	1	16.5	22459.3136578456	508
Pi	1	16.5	22459.4930774729	509
Pi	1	19.5	22494.2694926722	512
Pi	1	19.5	22494.3228895696	513
Pi	1	17.5	22514.3930053484	514
