Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
213.743875097174	213.81128024876986	1.0335811546098659e-25	5091446.57042303	2265.7637066	49035.98082688	A	X	F1e	1	6	6.5	B	F1e	2	7	7.5	rR1(6.5)
213.7439830178484	213.81138819115608	2.7694614270358106e-28	33777.7898664139	2324.2045096	49094.398018	A	X	F1e	1	8	8.5	B	F2f	2	9	8.5	rQ21(8.5)
213.74427125525503	213.81167648655108	1.5281911080930075e-25	5035468.61267557	2265.7048816	49035.83532688	A	X	F2f	1	6	5.5	B	F2f	2	7	6.5	rR2(5.5)
213.7445401225363	213.81194540792396	1.6979815775502673e-27	55949.4401406668	2265.7637066	49035.83532688	A	X	F1e	1	6	6.5	B	F2f	2	7	6.5	rQ21(6.5)
213.74587129305974	213.81327684625805	1.779038798833881e-26	5195208.10134692	2359.2626	49129.042978	A	X	F1e	1	9	9.5	B	F1e	2	10	10.5	rR1(9.5)
213.74640937915075	213.81381504060428	3.322799074669268e-26	5167825.87655303	2359.176625	49128.839278	A	X	F2f	1	9	8.5	B	F2f	2	10	9.5	rR2(8.5)
213.74680234711118	213.81420808762448	1.758081821166831e-28	27342.8432651659	2359.2626	49128.839278	A	X	F1e	1	9	9.5	B	F2f	2	10	9.5	rQ21(9.5)
213.74733496157575	213.81474080924423	1.6815568674461617e-25	5035252.11572768	2242.38328	49011.84343112	A	X	F1e	1	5	5.5	B	F1e	2	6	6.5	rR1(5.5)
213.7476838250021	213.8150897428576	2.096171464855253e-25	4958936.13885155	2242.333505	49011.71733112	A	X	F2f	1	5	4.5	B	F2f	2	6	5.5	rR2(4.5)
213.7479113353048	213.81531729893268	3.2248654482232e-27	76291.0816308878	2242.38328	49011.71733112	A	X	F1e	1	5	5.5	B	F2f	2	6	5.5	rQ21(5.5)
213.75285369217414	213.82026065016407	2.1318560238404843e-25	4958576.37529701	2222.89744	48991.150222	A	X	F1e	1	4	4.5	B	F1e	2	5	5.5	rR1(4.5)
