State	Vibr.	J	Energy	Index
X	8	0.5	16625.1726834	759
X	8	1.5	16625.1846534	760
X	8	1.5	16632.4230606	761
X	8	2.5	16632.4430106	762
X	8	2.5	16643.3002224	763
X	8	3.5	16643.3281524	764
X	8	3.5	16657.80369	765
X	8	4.5	16657.8396	766
X	8	4.5	16675.932825	767
X	8	5.5	16675.976715	768
X	8	5.5	16697.6868294	769
X	8	6.5	16697.7386994	770
X	8	6.5	16723.0647456	773
X	8	7.5	16723.1245956	774
X	8	7.5	16752.0654564	775
X	8	8.5	16752.1332864	776
X	8	8.5	16784.687685	777
X	8	9.5	16784.763495	778
X	8	9.5	16820.929995	781
X	8	10.5	16821.013785	782
X	8	10.5	16860.7907904	785
X	8	11.5	16860.8825604	786
X	8	11.5	16904.2683156	787
X	8	12.5	16904.3680656	788
X	8	12.5	16951.3606554	791
X	8	13.5	16951.4683854	792
X	8	13.5	17002.065735	795
X	8	14.5	17002.181445	796
X	8	14.5	17056.38132	797
X	8	15.5	17056.50501	798
X	8	15.5	17114.3050164	801
X	8	16.5	17114.4366864	802
X	8	16.5	17175.8342706	805
X	8	17.5	17175.9739206	806
X	8	17.5	17240.9663694	809
X	8	18.5	17241.1139994	810
X	8	18.5	17309.69844	811
X	8	19.5	17309.85405	812
X	8	19.5	17382.02745	816
X	8	20.5	17382.19104	817
X	9	0.5	18562.5215	856
X	9	0.5	18566.1009662	857
X	9	1.5	18566.1125612	858
X	9	1.5	18573.2713508	859
X	9	2.5	18573.2906758	860
X	9	2.5	18584.0285032	863
X	9	3.5	18584.0555582	864
X	9	3.5	18598.371995	865
X	9	4.5	18598.40678	866
X	9	4.5	18616.301255	867
X	9	5.5	18616.34377	868
X	9	5.5	18637.8155692	869
X	9	6.5	18637.8658142	870
X	9	6.5	18662.9140808	873
X	9	7.5	18662.9720558	874
X	9	7.5	18691.5957902	875
X	9	8.5	18691.6614952	876
X	9	8.5	18723.859555	877
