State	Vibr.	J	Energy	Index
Pi	4	7.5	26417.1411501972	247
Pi	4	8.5	26442.3524907444	248
Pi	4	8.5	26442.3569911818	249
Pi	4	0.5	26448.55104184	250
Pi	4	0.5	26448.55844784	251
Pi	4	1.5	26453.1072297541	252
Pi	4	1.5	26453.1220033248	253
Pi	4	2.5	26460.7029916275	254
Pi	4	2.5	26460.7250561584	255
Pi	4	9.5	26470.5307344604	256
Pi	4	9.5	26470.5368864499	257
Pi	4	3.5	26471.3377791516	258
Pi	4	3.5	26471.3670203433	259
Pi	4	4.5	26485.010818902	260
Pi	4	4.5	26485.0470854921	261
Pi	4	10.5	26501.6717988287	262
Pi	4	10.5	26501.6799491793	263
Pi	4	5.5	26501.7211142844	264
Pi	4	5.5	26501.7642189943	265
Pi	4	6.5	26521.4674480055	266
Pi	4	6.5	26521.5171686908	267
Pi	4	7.5	26544.2483850197	268
Pi	4	7.5	26544.3044660028	269
Pi	4	8.5	26570.0622758956	270
Pi	4	8.5	26570.1244294582	271
Pi	4	9.5	26598.9072605396	272
Pi	4	9.5	26598.9751685501	273
Pi	5	1.5	27756.0059272803	276
Pi	5	1.5	27756.005975823	277
Pi	5	2.5	27763.3314130879	278
Pi	5	2.5	27763.331606935	279
Pi	5	3.5	27773.5867114355	280
Pi	5	3.5	27773.5871949265	281
Pi	5	4.5	27786.7714579323	282
Pi	5	4.5	27786.7724220377	283
Pi	5	5.5	27802.8851879787	284
Pi	5	5.5	27802.8868690656	285
Pi	5	6.5	27821.9273344593	286
Pi	5	6.5	27821.9300127921	287
Pi	5	7.5	27843.8972249794	288
Pi	5	7.5	27843.9012229817	289
Pi	5	8.5	27868.7940786969	290
Pi	5	8.5	27868.7997590051	291
Pi	5	0.5	27875.9184396	292
Pi	5	0.5	27875.9339456	293
Pi	5	1.5	27880.4121327197	294
Pi	5	1.5	27880.443096177	295
Pi	5	2.5	27887.9064349121	296
Pi	5	2.5	27887.952759065	297
